symbol,company_name,industry,start_date,end_date,trading_days,cumulative_return_percent,annualized_return_percent,volatility_percent,average_daily_return,max_drawdown_percent,risk_adjusted_return,average_volume,average_turnover_cr,average_delivery_percent,positive_return_day_ratio,close_above_vwap_ratio,liquidity_score,investor_confidence_score,opportunity_score
TCS,Tata Consultancy Services Ltd.,IT,2004-08-25,2021-04-30,3939,1907.2149251045544,21.153024867367144,23.27738821007539,0.0869057518999816,-51.89354692031849,0.9087370402754749,1676761.9504711283,295.2102050118253,54.94288475477169,48.876540227107995,47.98260449383909,66.32653061224491,77.55102040816325,91.73469387755102
RELIANCE,Reliance Industries Ltd.,ENERGY,2000-01-03,2021-04-30,5086,2783.777693402639,18.123923149396393,26.17323419256928,0.07969612406527384,-45.34769841810407,0.6924602063333034,5583027.542404825,607.6714582596665,43.503944073455756,49.45344892574444,44.60987561251413,89.79591836734693,36.224489795918366,84.79591836734694
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5018,1400.998658929803,14.571576900802974,20.323703565153664,0.062179935637975636,-42.08817952994007,0.7169744851911197,509672.0868827742,69.42918564962119,62.55723785699395,47.64417640407086,47.870335469280064,18.367346938775512,85.0,80.61224489795917
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,5035,891.6615404889667,12.167656257584403,26.72590283733752,0.05973087865626109,-52.946452212044136,0.4552757798919157,1848186.9159442142,262.0758699196042,65.30880967271212,47.47455710516397,52.2238974745571,63.265306122448976,90.81632653061223,79.6938775510204
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,2008-05-26,2021-04-30,3046,517.0653581476461,16.247934268170617,22.868703175866408,0.07011859832433387,-26.75365989752495,0.7104877851279839,411463.91692692065,96.4402399033604,50.940143660212364,47.845096814490944,47.033104309806376,24.489795918367346,60.91836734693877,79.64285714285714
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4971,618.3112273276196,10.51212640581658,21.95750709564712,0.049227233962103156,-44.984776445483185,0.478748628431527,2102579.5156426686,244.8836674484188,59.500258494892634,47.229551451187334,51.300414624952886,66.3265306122449,81.27551020408163,79.03061224489797
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,2003-07-09,2021-04-30,4199,1739.283581309557,19.095949814762704,26.23350174565427,0.08300133079166624,-46.82202187698117,0.7279222575737933,1194660.7969279422,239.53071452694942,38.7390849525531,47.797605601987804,44.54483849107748,53.06122448979592,28.36734693877551,77.75510204081633
HCLTECH,HCL Technologies Ltd.,IT,2000-01-11,2021-04-30,4933,1738.6959010932508,16.037108393395762,31.289156449566157,0.07844950394418379,-61.244951098142984,0.5125452461220994,1645120.7196226416,107.52131831229056,50.42064832186783,48.16981132075472,47.64150943396226,42.85714285714286,61.0204081632653,74.79591836734696
INFY,Infosys Ltd.,IT,2000-01-03,2021-04-30,5026,830.1314854933782,11.830975186719073,26.634451081177318,0.05844619171908234,-70.3480745525297,0.4441981984408184,2622812.971353185,385.5758158873021,53.636629143214506,48.52996607614022,49.54768186958161,78.57142857142857,76.12244897959184,74.59183673469387
ITC,ITC Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5039,472.72032774220304,9.120073706200603,23.099916053957458,0.045219226073953143,-53.40144074229569,0.3948098202996786,7173165.020731248,179.9399440371749,59.16343280467446,47.88918205804749,47.776102525442894,82.6530612244898,79.89795918367345,74.38775510204081
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,2000-01-03,2021-04-30,4983,931.2333535451368,12.5245880325064,23.337813281689627,0.0576344340757451,-39.18311778038128,0.5366650200399425,440981.54165096115,104.50215414171315,52.3664269335001,48.11534112325669,44.9868073878628,28.57142857142857,58.77551020408163,73.9795918367347
MM,Mahindra & Mahindra Ltd.,AUTOMOBILE,2000-01-03,2021-04-30,5030,1648.8636542087363,15.414754467851033,29.66813908519976,0.07435482895525264,-67.37587969007808,0.5195726777329568,1536694.3315114963,108.12401822486807,49.68878465707734,48.77497173011685,45.19411986430456,40.816326530612244,54.08163265306122,70.25510204081633
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,2000-01-03,2021-04-30,5022,1297.2174991205466,14.148036452138403,25.82303223706574,0.06573576362602515,-58.927921648509006,0.5478843972409507,481077.3682623445,50.413943429462876,49.5071669793621,47.51225028269883,45.797210704862415,12.244897959183675,50.10204081632653,67.14285714285714
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,2000-01-03,2021-04-30,5001,602.9531253996469,10.325664913778109,25.8905600681051,0.05228443403095987,-57.03041560280195,0.39881968125125355,2227251.181115718,132.16954939304185,55.624282126412716,47.11647191858274,44.534489257444406,59.183673469387756,57.55102040816326,66.63265306122449
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4876,1173.0372335878117,14.051256320511229,29.415610985556068,0.06933584570266325,-89.79336077582474,0.4776802469753496,611608.5197707736,178.96013586048423,62.785978283566514,46.532951289398284,45.48233046800382,47.95918367346939,73.36734693877551,65.05102040816327
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,2000-01-03,2021-04-30,4727,736.7842718157552,11.991544630884343,29.628247225737926,0.06233884023969388,-72.16756004602551,0.4047335145923631,25074.952457372117,19.757222633274825,68.23390452366063,47.70310932798395,48.224674022066196,2.0408163265306123,92.44897959183675,63.775510204081634
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,2004-08-24,2021-04-30,3941,381.5158549649753,10.572792914585062,25.576136892518882,0.052856889052057286,-67.85556585920452,0.4133850612004522,247617.92367149759,72.59128148665337,60.19182367149758,48.5024154589372,46.73913043478261,15.306122448979593,83.46938775510203,63.673469387755105
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,2010-01-08,2021-04-30,2682,108.63395277292489,7.154231906278818,18.93858728859118,0.03453254474253645,-35.94915804407718,0.3777595338691714,54499.00142551675,54.93843837766928,66.20740555951532,48.25374198146829,46.32929436920884,6.122448979591837,88.6734693877551,62.70408163265305
TATASTEEL,Tata Steel Ltd.,METALS,2000-01-03,2021-04-30,5056,693.9546309015325,10.878517754323758,34.274734239892,0.0642892274490335,-84.87644796121413,0.3173917462987172,6165253.312853374,266.48764361691104,26.09513355592654,48.284960422163586,42.27289860535243,86.73469387755102,16.632653061224488,55.71428571428571
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,2000-01-03,2021-04-30,5061,439.94313495930373,8.759064112345394,32.475586631587575,0.05421786336483542,-61.61100136387988,0.26971226760922734,2093650.1767810027,93.23829493574821,44.34498644986449,47.399170750094235,44.02563136072371,40.816326530612244,28.92857142857143,51.071428571428584
WIPRO,Wipro Ltd.,IT,2000-01-03,2021-04-30,4894,181.78834815977964,5.479306761720348,26.58738147057861,0.03519162129407349,-56.31292388211126,0.20608673959801974,2236122.8631737656,102.45372723228608,45.90957681884511,47.30493780625707,47.361477572559366,47.95918367346938,44.89795918367347,50.714285714285715
JSWSTEEL,JSW Steel Ltd.,METALS,2005-03-23,2021-04-30,3785,260.51329781771335,8.912829154396196,34.77862169834766,0.05787859808223069,-75.61295125674717,0.25627321380650475,2680638.930145218,117.65189968081998,30.39801952929394,48.14722083124687,45.7185778668002,57.142857142857146,30.10204081632653,50.7142857142857
SBIN,State Bank of India,FINANCIAL SERVICES,2000-01-03,2021-04-30,5088,284.8200019385867,6.90224284507881,29.92986913130707,0.044258086473312724,-80.25597615983074,0.23061386652903756,10039301.876931775,413.68540078162744,28.036312604340562,48.68073878627968,43.66754617414248,97.95918367346938,23.163265306122447,50.61224489795919
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,2008-05-26,2021-04-30,2966,198.76128021373646,9.745049355621195,27.677510297324513,0.052070659082072354,-64.41201515345587,0.35209270093066186,231531.16526085598,95.33423928824429,47.161399562636674,45.7357075913777,36.863480162449235,21.42857142857143,20.714285714285715,47.95918367346938
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4655,315.3345222581793,8.013288030774213,32.84078830214027,0.0519705986983262,-82.1511355795685,0.24400413160155413,2351251.225677031,153.17798250786757,48.90023973316656,46.238716148445334,41.92577733199599,64.28571428571428,27.75510204081633,47.90816326530612
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,2004-01-23,2021-04-30,4098,159.47891349841083,6.038737655581539,32.313364036486576,0.04397024455707053,-75.37151620068398,0.18688050085911542,1692214.695124796,73.69939439606019,55.85018687222612,48.58875670632143,44.15675297410777,31.632653061224488,66.0204081632653,47.04081632653061
GAIL,GAIL (India) Ltd.,ENERGY,2000-01-03,2021-04-30,4730,128.4614401830857,4.5000406741031895,27.1503103578185,0.03207528240530224,-61.001592649209414,0.1657454598049303,3100069.3574724174,71.39141276818556,52.73568688763811,47.28184553660983,43.4704112337011,41.836734693877546,50.61224489795919,46.0204081632653
HINDALCO,Hindalco Industries Ltd.,METALS,2000-01-03,2021-04-30,5082,264.29576905083707,6.620496489148331,34.713139691177126,0.049329706427045525,-88.02525096689884,0.19072018688159836,6320499.372973992,105.62175032309555,43.40255385902531,48.00226159065209,45.98567659253675,66.3265306122449,37.6530612244898,45.255102040816325
LT,Larsen & Toubro Ltd.,CONSTRUCTION,2004-06-23,2021-04-30,3948,95.93158053462274,4.3866509712675805,26.306587916532465,0.03075386119454254,-72.85804157917408,0.16675104293973353,1917126.998087954,264.4571704535504,47.46107791586998,46.82122370936902,44.024856596558315,65.3061224489796,34.08163265306123,44.8469387755102
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4633,185.8041070619745,5.8782268329399034,29.036093737819346,0.039395897013947495,-87.42117584750562,0.20244551095671476,1283626.2854563692,135.550611319007,51.478484025892676,47.06118355065196,45.937813440320966,47.95918367346939,54.59183673469387,43.92857142857142
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,2000-01-03,2021-04-30,5072,43.6943936042711,1.817475702141591,27.255714672643393,0.021874601009874234,-63.988455481819365,0.0666823718978022,487180.85375047114,91.0020148864653,51.984267250364816,47.56879004900113,45.77836411609499,24.489795918367346,58.46938775510204,40.357142857142854
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,2000-01-03,2021-04-30,5066,104.33630487708405,3.6185804277761413,35.677366338894046,0.0393507355176613,-85.20395507462747,0.10142509941467594,10465595.237655485,279.07718774077364,36.052944490818035,47.75725593667546,44.17640407086317,94.89795918367346,24.591836734693878,40.25510204081633
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5077,-13.03951358858848,-0.6910915491069702,23.356696317014055,0.008066913916556048,-75.21598657565119,-0.02958858306530057,2079760.7438748586,128.86986051747738,60.31712794823627,47.13531850735017,49.792687523558236,55.10204081632653,82.44897959183673,39.59183673469388
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4994,-2.7583715283349797,-0.14104511169366063,32.99807179794897,0.021033860146152564,-73.01605298285956,-0.0042743440452307725,4527937.646061063,273.9870703633254,46.69621013133209,46.00452318130419,45.382585751978894,79.59183673469389,33.16326530612245,38.775510204081634
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5009,19.33691381284275,0.8933395976966851,19.76527278546852,0.011274473695945402,-63.313260775486015,0.04519743326555405,122088.32478793591,35.310705391551366,64.45236864053378,45.843543826578696,45.146088595664466,6.122448979591837,69.79591836734694,38.316326530612244
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,2000-01-03,2021-04-30,5048,21.324317092185385,0.9696244198602377,27.670510719503916,0.01901047659220955,-84.42411943091679,0.03504179701232567,4627373.344327177,119.23599593451566,51.34129247446321,47.399170750094235,45.00565397663023,64.28571428571428,50.86734693877551,37.80612244897959
NTPC,NTPC Ltd.,ENERGY,2004-11-05,2021-04-30,3875,-33.292178043148866,-2.5984612891308823,22.68652834180446,-0.0002441456442202222,-70.4158083050032,-0.11453763440493882,7226587.44055773,98.36027741505015,58.7852862035225,46.13502935420743,45.0587084148728,65.3061224489796,60.40816326530612,35.05102040816327
TECHM,Tech Mahindra Ltd.,IT,2006-08-28,2021-04-30,3428,74.06631632994242,4.158683617357228,27.166187387777775,0.030812572498814257,-81.18312962417306,0.1530830792703817,1594017.5741403026,121.44006261848693,43.830833562585966,48.170563961485556,40.38514442916094,46.93877551020408,25.51020408163265,34.795918367346935
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,2007-10-05,2021-04-30,3181,-41.06003408430847,-4.1015063229551725,21.18224859529522,-0.0077184652895708975,-55.02380601854367,-0.1936294111790453,6019073.321524263,89.86048671875855,59.190348317951766,46.08514438821077,46.88895504614469,56.12244897959184,70.20408163265306,34.6938775510204
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4995,-34.31517233525575,-2.098120293108907,31.869645468922926,0.011728760627476197,-85.50793595411498,-0.0658344409621641,8224630.710516397,375.93360646246606,47.346297765713096,46.34376177911798,46.53222766679231,94.89795918367346,42.244897959183675,33.8265306122449
CIPLA,Cipla Ltd.,PHARMA,2000-01-03,2021-04-30,5007,-22.876168415151056,-1.2988406015965404,23.383023154787175,0.005655583003200019,-57.9919764323954,-0.05554630780625261,1550071.0222389747,78.41695928216642,50.92087854757929,45.816057293629854,42.499057670561626,29.591836734693878,34.897959183673464,31.42857142857143
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,2002-02-18,2021-04-30,4558,-35.473931167840355,-2.3930475831278053,30.34425818103785,0.008627510831266201,-87.70439036874514,-0.07886327518209763,5341069.542731462,224.52175904894534,52.17112652374948,46.39715123586091,45.41265186426477,76.53061224489795,52.65306122448979,31.3265306122449
COALINDIA,Coal India Ltd.,METALS,2010-11-04,2021-04-30,2510,-70.52586072071867,-11.542892288316843,24.551903001291393,-0.03669833886876936,-74.99538267155926,-0.4701424687002756,5617117.677829099,140.53984394365858,55.10057351809083,47.151655119322555,46.34334103156274,74.48979591836735,65.61224489795919,30.51020408163265
VEDL,Vedanta Ltd.,METALS,2000-01-03,2021-04-30,5046,22.813635762071847,1.0315517595464563,40.16777474183403,0.03604034038644492,-92.42088633811453,0.02568107808252851,5980438.609236569,118.2406908356032,34.86140859766277,46.295947219604145,42.33741753063148,68.36734693877551,11.224489795918368,30.10204081632653
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,2000-01-03,2021-04-30,4991,-52.64871590943301,-3.7042292209774508,37.34638360679924,0.012662921294979396,-86.13007087237101,-0.09918575410078159,4825421.878816434,124.90963464933188,45.22112596615834,46.56992084432718,42.970222389747455,67.34693877551021,25.30612244897959,23.469387755102044
IOC,Indian Oil Corporation Ltd.,ENERGY,2000-01-03,2021-04-30,5030,-48.974684978024996,-3.314747092539183,27.21089078677749,0.0013073627019656502,-78.48990040401236,-0.12181692685157916,3188200.57331323,59.343249402160765,48.98267250364812,47.229551451187334,42.32943837165473,39.795918367346935,34.13265306122449,20.918367346938773
TITAN,Titan Company Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,4939,-11.71755418537609,-0.6338699963439831,31.079247891261648,0.01663009479547132,-95.18793019551535,-0.020395281075067596,1172596.481530343,77.96053041790519,36.7944449081803,46.51338107802488,40.80286468149265,24.48979591836735,12.551020408163264,17.755102040816325
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,2007-11-27,2021-04-30,3172,-44.553028301949126,-4.577160178505235,33.17797333863167,0.0032437197464602625,-86.90292263318501,-0.13795779904300828,2954563.9217338953,107.01441437291543,44.589873570138465,46.74894641782059,42.44431065623119,55.102040816326536,23.36734693877551,14.999999999999998
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,2000-01-03,2021-04-30,4963,-54.115506281920354,-3.8784339722373606,30.0497742494724,0.002203514518737848,-94.10107553892703,-0.1290669919859866,96284.29579324655,65.85217053218166,57.46766937669378,45.38766270514997,43.61441237502358,9.183673469387754,51.73469387755102,13.979591836734695
